日期,小时,用电负荷
2019-08-14,02:00,90.68537000000005
2019-08-14,03:00,93.31973800000007
2019-08-14,04:00,86.13746700000002
2019-08-14,05:00,93.68586500000004
2019-08-14,06:00,97.47802300000014
2019-08-14,07:00,104.89440100000009
2019-08-14,08:00,116.3366980000001
2019-08-14,09:00,108.86828000000011
2019-08-14,10:00,106.37934300000012
2019-08-14,11:00,106.59212900000007
2019-08-14,12:00,101.57280000000014
2019-08-14,13:00,110.7185880000001
2019-08-14,14:00,108.67194700000003
2019-08-14,15:00,102.27692100000006
2019-08-14,16:00,117.52238700000015
2019-08-14,17:00,111.36839200000006
2019-08-14,18:00,117.21215400000013
2019-08-14,19:00,105.04888500000017
2019-08-14,20:00,104.59570100000008
2019-08-14,21:00,107.48780800000007
2019-08-14,22:00,102.73094300000011
2019-08-14,23:00,99.34561300000009
2019-08-15,00:00,88.31061300000005
2019-08-15,01:00,95.22253800000003
2019-08-15,02:00,89.08241699999995
2019-08-15,03:00,84.85757800000002
2019-08-15,04:00,88.84846199999998
2019-08-15,05:00,87.05839300000004
2019-08-15,06:00,101.30743700000009
2019-08-15,07:00,92.546219
2019-08-15,08:00,105.60764100000003
2019-08-15,09:00,111.55021300000007
2019-08-15,10:00,102.06338800000005
2019-08-15,11:00,99.09154900000006
2019-08-15,12:00,97.41241700000006
2019-08-15,13:00,103.72373100000009
2019-08-15,14:00,107.9886560000001
2019-08-15,15:00,105.20758700000009
2019-08-15,16:00,105.7274380000001
2019-08-15,17:00,110.74882500000017
2019-08-15,18:00,100.47536100000006
2019-08-15,19:00,105.61790500000018
2019-08-15,20:00,98.09857600000014
2019-08-15,21:00,96.32664599999993
2019-08-15,22:00,102.13599199999997
2019-08-15,23:00,87.93669100000002
2019-08-16,00:00,89.33080900000002
2019-08-16,01:00,84.56997999999996
2019-08-16,02:00,91.97851200000004
2019-08-16,03:00,87.06180900000003
2019-08-16,04:00,76.44455099999999
2019-08-16,05:00,91.44733800000002
2019-08-16,06:00,97.85171700000011
2019-08-16,07:00,109.7758190000001
2019-08-16,08:00,108.87576999999999
2019-08-16,09:00,110.97942900000004
2019-08-16,10:00,107.23537400000005
2019-08-16,11:00,103.75907400000003
2019-08-16,12:00,101.10731400000006
2019-08-16,13:00,111.11582900000012
2019-08-16,14:00,96.83549000000009
2019-08-16,15:00,105.80397400000017
2019-08-16,16:00,117.13936400000016
2019-08-16,17:00,108.52561500000006
2019-08-16,18:00,117.40699500000004
2019-08-16,19:00,105.7059120000001
2019-08-16,20:00,99.03768300000017
2019-08-16,21:00,101.69608200000005
2019-08-16,22:00,100.78211900000005
2019-08-16,23:00,99.34869700000012
2019-08-17,00:00,87.02284600000003
2019-08-17,01:00,84.8476910000001
2019-08-17,02:00,93.98894500000011
2019-08-17,03:00,84.18651200000006
2019-08-17,04:00,85.09216700000005
2019-08-17,05:00,94.87283700000002
2019-08-17,06:00,92.20438900000003
2019-08-17,07:00,100.79931100000012
2019-08-17,08:00,102.12459100000007
2019-08-17,09:00,107.24431000000001
2019-08-17,10:00,113.03092400000014
2019-08-17,11:00,103.07192200000006
2019-08-17,12:00,109.19860500000003
2019-08-17,13:00,100.10745500000013
2019-08-17,14:00,107.39777500000005
2019-08-17,15:00,115.78549300000006
2019-08-17,16:00,109.48448500000009
2019-08-17,17:00,113.69858000000012
2019-08-17,18:00,105.48940200000007
2019-08-17,19:00,103.86343000000015
2019-08-17,20:00,107.27503300000006
2019-08-17,21:00,94.30520100000004
2019-08-17,22:00,106.60583300000015
2019-08-17,23:00,92.254733
2019-08-18,00:00,88.4953570000001
2019-08-18,01:00,93.04681700000003
2019-08-18,02:00,89.39335400000002
2019-08-18,03:00,86.275058
2019-08-18,04:00,90.32092900000002
2019-08-18,05:00,86.34597600000002
2019-08-18,06:00,94.23947399999999
2019-08-18,07:00,95.20780600000012
2019-08-18,08:00,101.62171500000007
2019-08-18,09:00,96.72118800000003
2019-08-18,10:00,99.80304200000016
2019-08-18,11:00,101.40279000000005
2019-08-18,12:00,91.72861900000002
2019-08-18,13:00,104.28425700000011
2019-08-18,14:00,98.70139300000004
2019-08-18,15:00,100.12449700000018
2019-08-18,16:00,108.8170790000001
2019-08-18,17:00,96.59563000000003
2019-08-18,18:00,105.81912800000019
2019-08-18,19:00,97.04395400000004
2019-08-18,20:00,90.89662000000008
2019-08-18,21:00,97.94553500000016
2019-08-18,22:00,94.51845099999996
2019-08-18,23:00,85.223131
2019-08-19,00:00,89.265669
2019-08-19,01:00,80.23316300000008
2019-08-19,02:00,90.068033
2019-08-19,03:00,80.73426700000005
2019-08-19,04:00,80.74611800000001
2019-08-19,05:00,86.96666700000004
2019-08-19,06:00,94.15555000000005
2019-08-19,07:00,96.24758400000002
2019-08-19,08:00,113.25438900000005
2019-08-19,09:00,109.25345700000014
2019-08-19,10:00,115.51899300000012
2019-08-19,11:00,104.74934200000008
2019-08-19,12:00,104.60178500000013
2019-08-19,13:00,105.17939000000013
2019-08-19,14:00,109.61909100000011
2019-08-19,15:00,108.36648900000004
2019-08-19,16:00,115.69605100000008
2019-08-19,17:00,114.03438000000017
2019-08-19,18:00,111.26000100000009
2019-08-19,19:00,106.91061800000001
2019-08-19,20:00,110.49194900000008
2019-08-19,21:00,104.62385300000004
