day,day_of_week,weekend,half_month,holiday,hour,负荷
5,3,False,1,2,2,96.48344400000006
5,3,False,1,2,3,88.74616499999999
5,3,False,1,2,4,87.20327100000003
5,3,False,1,2,5,100.17885
5,3,False,1,2,6,92.71417400000004
5,3,False,1,2,7,108.52560300000005
5,3,False,1,2,8,118.80579700000007
5,3,False,1,2,9,114.46033599999994
5,3,False,1,2,10,111.75470900000008
5,3,False,1,2,11,114.75365600000015
5,3,False,1,2,12,100.99012400000018
5,3,False,1,2,13,108.59774900000006
5,3,False,1,2,14,117.88602800000011
5,3,False,1,2,15,112.29290800000007
5,3,False,1,2,16,113.77397800000011
5,3,False,1,2,17,121.28481900000008
5,3,False,1,2,18,105.55300400000012
5,3,False,1,2,19,112.77707300000014
5,3,False,1,2,20,113.4186910000001
5,3,False,1,2,21,104.41611200000008
5,3,False,1,2,22,110.6043310000001
5,3,False,1,2,23,97.26699500000004
5,5,True,1,1,0,2226.1959850000007
5,5,True,1,1,1,82.46863300000003
5,5,True,1,1,2,69.70463700000003
5,5,True,1,1,3,83.169502
5,5,True,1,1,4,75.64752900000005
5,5,True,1,1,5,76.92111500000006
5,5,True,1,1,6,84.30163300000004
5,5,True,1,1,7,89.75585900000006
5,5,True,1,1,8,93.89857600000013
5,5,True,1,1,9,85.76454300000005
5,5,True,1,1,10,100.63707400000018
5,5,True,1,1,11,92.25391700000006
5,5,True,1,1,12,88.501564
5,5,True,1,1,13,102.39314200000005
5,5,True,1,1,14,88.65914400000001
5,5,True,1,1,15,98.56698899999998
5,5,True,1,1,16,96.31305000000013
5,5,True,1,1,17,93.95064100000005
5,5,True,1,1,18,94.40315500000008
5,5,True,1,1,19,93.20407900000012
5,5,True,1,1,20,100.1513980000001
5,5,True,1,1,21,95.05675300000016
5,5,True,1,1,22,92.97126600000003
5,5,True,1,1,23,91.15549000000007
6,1,False,1,2,0,2530.861766999988
6,1,False,1,2,1,88.73398100000009
6,1,False,1,2,2,95.20932000000008
6,1,False,1,2,3,87.83043300000003
6,1,False,1,2,4,89.82091700000002
6,1,False,1,2,5,88.61341500000002
6,1,False,1,2,6,94.6528220000001
6,1,False,1,2,7,105.2487580000001
6,1,False,1,2,8,115.58284200000007
6,1,False,1,2,9,109.99788600000011
6,1,False,1,2,10,108.04602200000012
6,1,False,1,2,11,104.2323780000001
6,1,False,1,2,12,109.0158750000001
6,1,False,1,2,13,99.52462400000014
6,1,False,1,2,14,106.16946700000013
6,1,False,1,2,15,102.4111230000001
6,1,False,1,2,16,115.20366300000009
6,1,False,1,2,17,109.77478800000007
6,1,False,1,2,18,111.07763200000015
6,1,False,1,2,19,105.10857500000009
6,1,False,1,2,20,110.0939640000001
6,1,False,1,2,21,101.3969880000001
6,1,False,1,2,22,97.67868100000014
6,1,False,1,2,23,100.16333100000013
6,4,False,1,2,0,2571.7710559999828
6,4,False,1,2,1,97.38612099999999
6,4,False,1,2,2,91.33553100000005
6,4,False,1,2,3,89.88536300000003
6,4,False,1,2,4,95.691277
6,4,False,1,2,5,91.08861400000005
